PosX,PosY,Height,Heading
-758.14,5540.96,33.49,110.53
-3046.19,143.27,11.6,11.14
-1153.01,2672.99,18.1,312.25
622.67,110.27,92.59,340.75
-574.62,-1147.27,22.18,177.7
376.31,2638.97,44.5,286.38
1738.32,3283.89,41.13,16.24
1419.98,3618.63,34.91,195.33
1452.67,6552.02,14.89,138.69
3472.4,3681.97,33.79,76.44
2485.73,4116.13,38.07,66.71
65.02,6345.89,31.22,206.64
-303.28,6118.17,31.5,135.24
-63.41,-2015.25,18.02,299.48
-46.35,-2112.38,16.71,290.84
-748.00,-1492.08,5.00,28.08
369.54,272.07,103.11,247.94
907.61,-44.12,78.77,323.08
-1517.31,-428.29,35.45,55.77
235.04,-1520.18,29.15,316.76
34.8,-1730.13,29.31,226.06
350.4,-2466.9,6.4,169.38
1213.97,-1229.01,35.35,270.74
1395.7,-2061.38,52.0,135.81
729.09,-2023.63,29.31,268.75
840.72,-1952.59,28.85,81.46
551.76,-1840.26,25.34,40.72
723.78,-1372.08,26.29,106.65
-309.84,-1365.29,31.3,268.8
1137.23,-1285.05,34.6,189.65
466.93,-1231.55,29.95,267.14
442.28,-584.28,28.5,252.12
1560.52,888.69,77.46,19.02
2561.78,426.67,108.46,301.57
569.21,2730.83,42.07,91.35
2665.4,1700.63,24.49,269.33
1120.1,2652.5,38.0,181.77
2004.23,3071.87,47.06,237.58
2038.78,3175.7,45.09,140.47
1635.54,3562.84,35.23,296.61
2744.55,3412.43,56.57,247.48
1972.17,3839.16,32.0,304.36
1980.59,3754.65,32.18,211.64
1716.0,4706.41,42.69,91.44
1691.36,4918.42,42.08,57.29
1970.3,5177.39,47.83,318.89
1908.78,4932.06,48.97,340.08
140.79,-1077.85,29.2,262.4
-323.98,-1522.86,27.55,258.59
-1060.53,-221.7,37.84,299.01
2471.47,4463.07,35.3,277.56
2699.47,3444.81,55.8,153.49
2651.19,3252.42,54.93,232.7
2730.39,2778.2,36.01,134.51
-2966.68,363.37,14.77,359.8
2788.89,2816.49,41.72,296.22
-604.45,-1212.24,14.95,227.43
2534.83,2589.08,37.95,2.48
-143.31,205.88,92.12,86.41
2381.84,2594.34,46.66,192.86
860.47,-896.87,25.53,181.8
973.34,-1038.19,40.84,272.3
-409.04,1200.44,325.65,164.59
-1664.81,3076.59,31.23,229.86
-71.8,-1089.98,26.56,339.06
1246.34,1860.78,79.47,315.78
-1777.63,3082.36,32.81,236.17
-1775.87,3088.13,32.81,239.97
-1827.5,2934.11,32.82,59.53
-2123.69,3270.14,32.82,145.14
-2444.59,2981.63,32.82,283.55
-2448.59,2962.8,32.82,333.19
-2277.86,3176.57,32.81,236.61
-2969.0,366.46,14.77,292.99
-1637.61,-814.53,10.17,139.15
-1494.72,-891.67,10.11,73.06
-902.27,-1528.42,5.03,106.23
-1173.93,-1749.87,3.97,211.53
-1087.8,-2047.55,13.23,314.93
-1108.63,-2026.09,13.24,308.01
